title,years,link
"Covered Rabbit Dish,",1935/1942,"https://media.nga.gov/iiif/e461a696-e8a6-4fbd-8c98-52f5932e0d6c/full/!588,600/0/default.jpg"
"Covered Compote,",c. 1936,"https://media.nga.gov/iiif/b25c962f-1c24-49d9-a5b0-26bf0e122694/full/!588,600/0/default.jpg"
"Compote,",c. 1936,"https://media.nga.gov/iiif/2e5ac203-b7fa-4c36-9125-faee9092b92d/full/!588,600/0/default.jpg"
"Candlestick,",1935/1942,"https://media.nga.gov/iiif/08b1345f-a51a-4c81-9fb7-5ac11a1ebdc6/full/!588,600/0/default.jpg"
"Candlestick,",c. 1937,"https://media.nga.gov/iiif/4f72bbed-813d-4187-acac-483f529187af/full/!588,600/0/default.jpg"
"Tumbler,",c. 1936,"https://media.nga.gov/iiif/18fe65bf-2767-4d56-b45d-62f20eefb65b/full/!588,600/0/default.jpg"
"Cracker Jar,",c. 1940,"https://media.nga.gov/iiif/d3eef4ca-277e-464d-843c-5f329b6c810f/full/!588,600/0/default.jpg"
"Molasses or Syrup Mug,",c. 1938,"https://media.nga.gov/iiif/4727c45d-a580-447e-a12a-7544e769d8e7/full/!588,600/0/default.jpg"
"Goblet,",c. 1938,"https://media.nga.gov/iiif/5330b6ef-a852-4917-8f0f-88a362983cdb/full/!588,600/0/default.jpg"
"Goblet,",1935/1942,"https://media.nga.gov/iiif/efcaf40b-5cc7-4222-b90e-73c851da77b8/full/!588,600/0/default.jpg"
"Decanter (Ashberton Pattern),",c. 1940,"https://media.nga.gov/iiif/03817fec-8b81-4611-8ada-ca5b0aa294f0/full/!588,600/0/default.jpg"
"Salt Cellar,",c. 1938,"https://media.nga.gov/iiif/09581a0c-ecaa-4937-ab62-61ebca82536a/full/!588,600/0/default.jpg"
"Salt Dip,",1937,"https://media.nga.gov/iiif/0c2afe33-4948-460b-a2b8-ec84fbbc1a07/full/!588,600/0/default.jpg"
"Salt Dip,",c. 1936,"https://media.nga.gov/iiif/ffe56adb-2a80-41b7-9290-3b17062bf0e6/full/!588,600/0/default.jpg"
"Vase,",c. 1937,"https://media.nga.gov/iiif/eba72461-13a7-4fee-86de-96d345bb367b/full/!588,600/0/default.jpg"
"Bread Plate,",1935/1942,"https://media.nga.gov/iiif/44c43e2c-489e-498e-969c-eb3c2a6c8117/full/!588,600/0/default.jpg"
"Glass Tray,",c. 1939,"https://media.nga.gov/iiif/3d890e03-c090-424f-b6fa-760eaff4b2d2/full/!588,600/0/default.jpg"
"Souvenir Pitcher,",c. 1936,"https://media.nga.gov/iiif/4efa1156-0175-4d6f-8aa1-39e5badd18f0/full/!588,600/0/default.jpg"
"Ornamental Basket,",c. 1936,"https://media.nga.gov/iiif/9cfad619-495a-4da1-948d-9834a0b2bffb/full/!588,600/0/default.jpg"
"Cruet,",c. 1937,"https://media.nga.gov/iiif/d55584d9-d830-4d89-b5bf-7f0ecdf27427/full/!588,600/0/default.jpg"
"Tumbler,",1937,"https://media.nga.gov/iiif/24d6f350-a949-49f8-b03a-1fe6ccd367ee/full/!588,600/0/default.jpg"
"Vase,",c. 1936,"https://media.nga.gov/iiif/5fb7e4a5-a819-4560-aa1d-b3bc4aa77e9b/full/!588,600/0/default.jpg"
"Vase,",c. 1937,"https://media.nga.gov/iiif/b04c79b0-8e3f-48fc-91df-9a5b6852c193/full/!588,600/0/default.jpg"
"Covered Glass Sugar Bowl,",1936,"https://media.nga.gov/iiif/ba8d3afa-402f-4ea7-afaa-9ab65bb6db64/full/!588,600/0/default.jpg"
"Grave Marker,",c. 1938,"https://media.nga.gov/iiif/2a8ff1cc-defe-4520-86cf-000b4de0df45/full/!588,600/0/default.jpg"
"Gold Spike,",c. 1936,"https://media.nga.gov/iiif/a78d5d13-efaf-478f-8025-c541b8c8eee9/full/!588,600/0/default.jpg"
"Basket Maker's Splint Gauge,",1939,"https://media.nga.gov/iiif/f3cf992b-e6d9-40f1-ae66-7ef4de3fa789/full/!588,600/0/default.jpg"
"Stone Gate Post,",c. 1939,"https://media.nga.gov/iiif/3dae05dd-f023-476e-a3e9-20351aacdc40/full/!588,600/0/default.jpg"
"Barber Bottle,",c. 1936,"https://media.nga.gov/iiif/a081272b-6b29-4730-ad6c-73ac0c352bcc/full/!588,600/0/default.jpg"
"Vase,",c. 1936,"https://media.nga.gov/iiif/5ee51abb-2212-4747-bfe0-ca0a2caa6e06/full/!588,600/0/default.jpg"
"Pistol,",c. 1941,"https://media.nga.gov/iiif/fe89576e-9633-4a88-a28c-ab4e88cbf350/full/!588,600/0/default.jpg"
"Gun,",1935/1942,"https://media.nga.gov/iiif/4ffa3235-bcf4-4e57-b4af-f9f7995c6326/full/!588,600/0/default.jpg"
"Metal Grits Grinder,",c. 1939,"https://media.nga.gov/iiif/ae39e990-f30e-46d1-ba47-7a62f2cbf6d7/full/!588,600/0/default.jpg"
"Meat Grinder,",c. 1939,"https://media.nga.gov/iiif/32eae9e8-b7dc-4f77-822c-cd66f238d2ee/full/!588,600/0/default.jpg"
"Iron Griddle,",c. 1938,"https://media.nga.gov/iiif/c0418934-4e90-43ae-b285-a8c7510711e8/full/!588,600/0/default.jpg"
"Gridiron,",c. 1938,"https://media.nga.gov/iiif/7db14ba4-ecfd-4a76-94eb-a8df39c7875f/full/!588,600/0/default.jpg"
"Tool Box Hasp,",c. 1938,"https://media.nga.gov/iiif/5f36577c-3ce0-4705-a7e8-048b585cebb3/full/!588,600/0/default.jpg"
"Hand Holds,",1940,"https://media.nga.gov/iiif/7c99bbbf-72b0-4f73-b896-91e36ab45bba/full/!588,600/0/default.jpg"
"Hammer,",c. 1937,"https://media.nga.gov/iiif/32c93d7e-cec0-4d7a-ae44-b5b1c03269e9/full/!588,600/0/default.jpg"
"Gun,",1938,"https://media.nga.gov/iiif/021a2b30-7347-4948-9d37-7c8ce6300ba9/full/!588,600/0/default.jpg"
"Detail of a Flint Lock,",1938,"https://media.nga.gov/iiif/0fd87936-1c37-4b76-9da9-6fbdd8062c5a/full/!588,600/0/default.jpg"
"Hitching Post,",c. 1941,"https://media.nga.gov/iiif/70730540-103b-4ab4-a5a1-ed3c99b4de8d/full/!588,600/0/default.jpg"
"Hitching Post,",1935/1942,"https://media.nga.gov/iiif/86ef4960-0034-47b7-ba56-f6dc105a8cf7/full/!588,600/0/default.jpg"
"Strap Hinges,",c. 1939,"https://media.nga.gov/iiif/74040f98-3586-4140-b1e8-089a0a6996ed/full/!588,600/0/default.jpg"
"Door Hinges,",c. 1936,"https://media.nga.gov/iiif/312115bf-7616-4fb2-8509-73d687fceab4/full/!588,600/0/default.jpg"
"Strap Hinges,",c. 1936,"https://media.nga.gov/iiif/220a2c6e-b181-43ad-93d7-6428e274522c/full/!588,600/0/default.jpg"
"Horse Drawn Hay Fork,",c. 1941,"https://media.nga.gov/iiif/aece5773-fb01-41de-9017-b30b17617f85/full/!588,600/0/default.jpg"
"Iron Hatchet Head,",c. 1938,"https://media.nga.gov/iiif/b8971344-2b45-4d27-b515-ac0757190c21/full/!588,600/0/default.jpg"
"Hitching Post,",c. 1939,"https://media.nga.gov/iiif/3fa82240-f7d8-4f1f-940c-045beb1caa41/full/!588,600/0/default.jpg"
"Hitching Post,",c. 1938,"https://media.nga.gov/iiif/f700483d-476d-483f-8b39-93d36d379b77/full/!588,600/0/default.jpg"
"Cast Iron Dobbie,",c. 1936,"https://media.nga.gov/iiif/2f5b766f-bedd-4dea-8928-5010def1c6a8/full/!588,600/0/default.jpg"
"Carved Wooden Hitching Post,",c. 1939,"https://media.nga.gov/iiif/5cfe010d-a415-436a-b6a4-a24b7a696e8b/full/!588,600/0/default.jpg"
"Iron Hitching Post,",c. 1937,"https://media.nga.gov/iiif/fe3fb1f5-fa83-48f5-b2ab-29bb94f21e14/full/!588,600/0/default.jpg"
"Iron Hitching Post,",c. 1937,"https://media.nga.gov/iiif/1c935973-8093-4d44-a45e-ad0cb63f510c/full/!588,600/0/default.jpg"
"Bog Shoe for Horse,",c. 1936,"https://media.nga.gov/iiif/541ec46b-d829-4765-9c22-67d10197c364/full/!588,600/0/default.jpg"
"Bucket Hooks,",c. 1938,"https://media.nga.gov/iiif/8bb22e04-1713-4232-94b9-246795b877c0/full/!588,600/0/default.jpg"
"Grappling Hooks,",1940,"https://media.nga.gov/iiif/3cb595f5-e261-4a22-b2c9-834f0ff63401/full/!588,600/0/default.jpg"
"Grappling Hook,",1939,"https://media.nga.gov/iiif/ce2cd248-845f-436b-9383-8d0a51b1b40f/full/!588,600/0/default.jpg"
"Horse Hobble,",c. 1941,"https://media.nga.gov/iiif/50147ce8-6783-49af-bce6-4e42f9d672b4/full/!588,600/0/default.jpg"
"Cast Iron Dobbie,",c. 1936,"https://media.nga.gov/iiif/77ddaf04-f98a-4c1a-8afd-811ab33baf56/full/!588,600/0/default.jpg"
"Hitching Post,",c. 1937,"https://media.nga.gov/iiif/840928e9-deec-48e0-9588-a8ebf158b21a/full/!588,600/0/default.jpg"
"Sharps Rifle,",c. 1938,"https://media.nga.gov/iiif/ee4cf292-9dc4-4a7e-87dc-eee053f19fae/full/!588,600/0/default.jpg"
"Spice Grinder,",1935/1942,"https://media.nga.gov/iiif/cc789f6f-183e-4d1c-8ec7-3aef688ca55e/full/!588,600/0/default.jpg"
"Glass,",c. 1936,"https://media.nga.gov/iiif/6beafafd-e276-456f-8b7c-aa26112d6872/full/!588,600/0/default.jpg"
"Glass,",1935/1942,"https://media.nga.gov/iiif/8ea3aa5f-568f-4bff-84ab-7fe6d4ca3483/full/!588,600/0/default.jpg"
"Spoon Holder,",1935/1942,"https://media.nga.gov/iiif/bdc4030b-cbc4-44bc-bd75-83c023510c81/full/!588,600/0/default.jpg"
"Pitcher,",c. 1941,"https://media.nga.gov/iiif/9b43cc5d-478b-4730-bd88-8bd09d18a6c6/full/!588,600/0/default.jpg"
"Glass Sugar Bowl,",1935/1942,"https://media.nga.gov/iiif/6445fe0b-a8d8-4d93-8d46-16eadfedc5f1/full/!588,600/0/default.jpg"
"Glass,",1935/1942,"https://media.nga.gov/iiif/23a1c291-a09f-4dbc-a4ae-2be8549793ed/full/!588,600/0/default.jpg"
"Flatiron,",c. 1940,"https://media.nga.gov/iiif/259d26f2-a871-45d3-b92c-58583976c6a5/full/!588,600/0/default.jpg"
"Cast Iron Hat Rack,",c. 1936,"https://media.nga.gov/iiif/630e0963-31d7-44bb-961a-89e4aace7b74/full/!588,600/0/default.jpg"
"Interior,",c. 1936,"https://media.nga.gov/iiif/756ec907-956a-47b7-98d8-06fc98d2959c/full/!588,600/0/default.jpg"
"Section of Mat,",c. 1935,"https://media.nga.gov/iiif/1ea6a2fc-10ac-4510-ab5d-29a9c0932e8a/full/!588,600/0/default.jpg"
"Moccasin,",1935,"https://media.nga.gov/iiif/42f81efb-aba7-4208-892e-58ba42aae0f6/full/!588,600/0/default.jpg"
"Moccasin,",1935,"https://media.nga.gov/iiif/96981c5c-cdf9-4c43-af5e-566e1f1d9bba/full/!588,600/0/default.jpg"
"Basket,",c. 1935,"https://media.nga.gov/iiif/ab0af386-afab-439e-8fea-ab8e03dfc73a/full/!588,600/0/default.jpg"
"Handmade Soldering Iron,",1939,"https://media.nga.gov/iiif/e3eb8262-3cca-4898-ac3e-d0bfccd71705/full/!588,600/0/default.jpg"
"Fluting Iron,",c. 1940,"https://media.nga.gov/iiif/7e8fb66a-0904-4d74-9798-d2a663654d2f/full/!588,600/0/default.jpg"
"Hand Fluting Iron,",c. 1938,"https://media.nga.gov/iiif/f9f70873-2eac-46c9-aa81-61d1f72cd046/full/!588,600/0/default.jpg"
"Flatiron,",1935/1942,"https://media.nga.gov/iiif/47c723ac-3663-4eef-8552-9e371d1c5fda/full/!588,600/0/default.jpg"
"Hand Iron,",c. 1939,"https://media.nga.gov/iiif/43060a64-6013-4124-9df1-7b39c2f51fd5/full/!588,600/0/default.jpg"
"Iron,",c. 1937,"https://media.nga.gov/iiif/babec9ed-07df-48c2-8c2b-21cd407dbd45/full/!588,600/0/default.jpg"
"Ornamental Iron Rosette,",1938,"https://media.nga.gov/iiif/dc89e10d-c09e-432a-8a19-620b014759f9/full/!588,600/0/default.jpg"
"Ornamental Iron Grill,",1938,"https://media.nga.gov/iiif/1bc6c174-9bb8-4534-82d2-d77129d26784/full/!588,600/0/default.jpg"
"Perforated Scroll,",1938,"https://media.nga.gov/iiif/9e09cad9-698e-480b-8820-fc85036c6beb/full/!588,600/0/default.jpg"
"Leaf and Scroll,",1938,"https://media.nga.gov/iiif/398f78a0-680a-4702-975c-4d3c59c63c64/full/!588,600/0/default.jpg"
"Sidewalk Grating,",c. 1939,"https://media.nga.gov/iiif/143d9f25-e228-44ba-8aac-5342a1a54a07/full/!588,600/0/default.jpg"
"Gate and Gatepost,",c. 1940,"https://media.nga.gov/iiif/dd93473c-77ef-4c85-ad1c-944801e75ab8/full/!588,600/0/default.jpg"
"Ornamental Stair Rail,",c. 1937,"https://media.nga.gov/iiif/8e534a9a-fe08-438b-867b-e8cc3c53dd86/full/!588,600/0/default.jpg"
"Iron Balcony,",c. 1936,"https://media.nga.gov/iiif/a445a5a9-d866-48e9-bc94-cb355806aecc/full/!588,600/0/default.jpg"
"Cast Iron Balcony Railing,",c. 1936,"https://media.nga.gov/iiif/dd9c4124-7f2e-4cf5-a491-cada999c3057/full/!588,600/0/default.jpg"
"Cast Iron Balcony Rail,",c. 1936,"https://media.nga.gov/iiif/bce4d3bc-922a-4588-ac69-fbb485932ce0/full/!588,600/0/default.jpg"
"Cast Iron Balcony,",c. 1936,"https://media.nga.gov/iiif/4d6fa2c3-2c1c-4251-b15a-44ce006fdbbc/full/!588,600/0/default.jpg"
"Cast Iron Balcony Rail,",c. 1936,"https://media.nga.gov/iiif/276f94a9-0085-4491-a86c-b2c8d92c4dfc/full/!588,600/0/default.jpg"
"Cast Iron Pavilion,",c. 1936,"https://media.nga.gov/iiif/2a615e52-8ff3-4368-921a-d365f16c8003/full/!588,600/0/default.jpg"
"Cast Iron Balcony Rail,",c. 1936,"https://media.nga.gov/iiif/b0b3fae5-4e58-4a78-b70f-ec58329438a5/full/!588,600/0/default.jpg"
"Cast Iron Porch,",c. 1936,"https://media.nga.gov/iiif/e45d809d-250f-4d37-b03a-5937e992dfa3/full/!588,600/0/default.jpg"
"Cast Iron Porch Railing,",c. 1936,"https://media.nga.gov/iiif/b77f2cd5-a322-4891-850e-6ae9e4bf80df/full/!588,600/0/default.jpg"
"Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/154358bc-cbe2-409c-8d14-d4b95be4ec04/full/!588,600/0/default.jpg"
"Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/0001668a-dd1c-48e8-9267-b6d1697d43c8/full/!588,600/0/default.jpg"
"Wrought Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/c20e4fb2-75b7-42f3-92e6-a83cb0efb9c7/full/!588,600/0/default.jpg"
"Cast Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/a935bfc2-fa82-4d33-8e2d-f308e835e3dc/full/!588,600/0/default.jpg"
"Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/7b56b819-f4fa-4b8f-99a5-cf4aff97b383/full/!588,600/0/default.jpg"
"Cast Iron Gate,",c. 1936,"https://media.nga.gov/iiif/cb96da72-212c-4ac4-94f1-b1545e38a147/full/!588,600/0/default.jpg"
"Fence Post,",c. 1937,"https://media.nga.gov/iiif/a8e6e579-7dc7-4c6f-89f4-bbb2c0e1d8ae/full/!588,600/0/default.jpg"
"Window Grille,",1937,"https://media.nga.gov/iiif/0b4004e3-7d62-46dd-b474-345d6dc984c2/full/!588,600/0/default.jpg"
"Fence,",1937,"https://media.nga.gov/iiif/d0d466f2-ecb2-4644-8c77-43a68a4654dc/full/!588,600/0/default.jpg"
"Cast Iron Gate,",1938,"https://media.nga.gov/iiif/49daad6f-e8a9-4fae-890c-be0671290023/full/!588,600/0/default.jpg"
"Cast Iron Fence,",c. 1937,"https://media.nga.gov/iiif/d7d9d54d-388c-429d-9620-b8ec0bdef0c5/full/!588,600/0/default.jpg"
"Cemetary Plot Enclosure,",c. 1937,"https://media.nga.gov/iiif/12eb9ee4-53d3-4069-ad33-bdfe17a97698/full/!588,600/0/default.jpg"
"Fragment of Fence,",1937,"https://media.nga.gov/iiif/778f0348-7971-4d90-8a82-98917a41b94d/full/!588,600/0/default.jpg"
"Foot Scraper,",1937,"https://media.nga.gov/iiif/5b49f717-edb3-4968-b244-7e08937dd560/full/!588,600/0/default.jpg"
"Corner Shelf Bracket,",c. 1940,"https://media.nga.gov/iiif/df429a59-037a-4af6-99b3-84402ac3c1b0/full/!588,600/0/default.jpg"
"Iron Brackets,",1935/1942,"https://media.nga.gov/iiif/33294442-ac48-440c-b761-7d521a6d9c73/full/!588,600/0/default.jpg"
"City Gas Light Bracket,",c. 1936,"https://media.nga.gov/iiif/d8caea0b-ceb3-4c90-83c1-4cb3ca9e0814/full/!588,600/0/default.jpg"
"Iron Railing,",c. 1936,"https://media.nga.gov/iiif/a989c443-1abf-407e-9768-64dc79b0f5b0/full/!588,600/0/default.jpg"
"Iron Railing,",c. 1936,"https://media.nga.gov/iiif/e52e5799-cfdc-4f87-b990-bf52e56cd80e/full/!588,600/0/default.jpg"
"Iron Gate and Fence,",c. 1936,"https://media.nga.gov/iiif/a9c5cbce-d0a2-4ea4-8b62-18ab9b36438f/full/!588,600/0/default.jpg"
"Cast Iron Balcony Rail,",c. 1936,"https://media.nga.gov/iiif/5f8ce248-55c7-49e8-b66b-6afbb343d734/full/!588,600/0/default.jpg"
"Wrought Iron Balcony,",c. 1936,"https://media.nga.gov/iiif/b195ba13-485b-4072-9961-d4f08debe34a/full/!588,600/0/default.jpg"
"Iron Balcony Railings,",1935/1942,"https://media.nga.gov/iiif/694b9262-e9e4-49db-a55b-f38695f1946d/full/!588,600/0/default.jpg"
"Cast Iron Work,",c. 1936,"https://media.nga.gov/iiif/47dc727f-32e1-4e14-a986-4f2887d3c948/full/!588,600/0/default.jpg"
"Wrought Iron Numerals,",c. 1937,"https://media.nga.gov/iiif/d56020fe-4476-47c6-bd38-84bb70803af9/full/!588,600/0/default.jpg"
"Foot Scraper,",c. 1941,"https://media.nga.gov/iiif/5dc0c407-3807-4dd8-88d0-a869d37f89c6/full/!588,600/0/default.jpg"
"""Sailor Jack"" Whirligig,",1939,"https://media.nga.gov/iiif/18a3147b-05f9-4a83-a0e5-b026955b246c/full/!588,600/0/default.jpg"
"Shoe Shine Foot Rest,",c. 1941,"https://media.nga.gov/iiif/8e561d7a-8800-4b9e-9d70-7ee0577653b4/full/!588,600/0/default.jpg"
"Iron,",c. 1938,"https://media.nga.gov/iiif/3ac48f6d-504f-4c83-92f5-f7bb64502b8d/full/!588,600/0/default.jpg"
"Horse Collar and Hame,",c. 1941,"https://media.nga.gov/iiif/a497d3d4-5e48-4176-8280-59ecd506d17a/full/!588,600/0/default.jpg"
"Foot Scraper,",c. 1937,"https://media.nga.gov/iiif/2ff86fd8-8d70-4fcf-b10c-ce7f7972cbf9/full/!588,600/0/default.jpg"
"Wrought Iron Fence,",c. 1936,"https://media.nga.gov/iiif/6541ecec-26e1-4b68-9028-616ccc6e0b07/full/!588,600/0/default.jpg"
"Iron Gate,",c. 1941,"https://media.nga.gov/iiif/e3060b1f-8fc3-4470-9e07-3afd9ae44d4e/full/!588,600/0/default.jpg"
"Cast Iron Gateway,",c. 1936,"https://media.nga.gov/iiif/1151e711-0271-428c-90ad-92703316ef7d/full/!588,600/0/default.jpg"
"Cast Iron Balcony Railing,",c. 1936,"https://media.nga.gov/iiif/afdc2535-7b8b-4e19-89d5-b9090a629e93/full/!588,600/0/default.jpg"
"Wrought and Cast Iron Gate,",c. 1936,"https://media.nga.gov/iiif/6b52fe57-34ad-4b4f-aae9-ff53de87e26e/full/!588,600/0/default.jpg"
"Iron Gate and Fence,",c. 1937,"https://media.nga.gov/iiif/7f2d962e-cb6b-4fcb-82d8-e6b5b8cfb934/full/!588,600/0/default.jpg"
"Brooch,",c. 1936,"https://media.nga.gov/iiif/9f56d757-174e-4cf8-a4d7-f4e23741079e/full/!588,600/0/default.jpg"
"Wagon Jack,",1935/1942,"https://media.nga.gov/iiif/419aac22-eab2-4fd5-a4da-bf17aab7b9d8/full/!588,600/0/default.jpg"
"Jeweler's Wire Making Machine,",c. 1939,"https://media.nga.gov/iiif/0993b49c-3610-40a8-92af-02d6e8069a4f/full/!588,600/0/default.jpg"
"Keys to John Marshall House,",c. 1937,"https://media.nga.gov/iiif/b2811baa-b0fd-442e-a11e-f70eac4af73f/full/!588,600/0/default.jpg"
"Soup Kettle,",c. 1938,"https://media.nga.gov/iiif/decc5f88-8eb5-4822-bbd7-38fdf5b2eade/full/!588,600/0/default.jpg"
"Kettle,",c. 1940,"https://media.nga.gov/iiif/bae3dfad-95ea-49ee-87cc-9f16c69496f8/full/!588,600/0/default.jpg"
"Copper Candy Vessel,",c. 1939,"https://media.nga.gov/iiif/f8d41c0c-a2e3-452d-84f2-01716c3696d7/full/!588,600/0/default.jpg"
"Kettle,",1935/1942,"https://media.nga.gov/iiif/07a2fd84-d234-4b83-9755-a6d6408d7030/full/!588,600/0/default.jpg"
"Field Water Keg,",c. 1940,"https://media.nga.gov/iiif/b206c331-2e2b-4cea-840c-72693abfca0c/full/!588,600/0/default.jpg"
"Knife,",c. 1939,"https://media.nga.gov/iiif/d4710519-4333-45ca-bc66-86ef6e248659/full/!588,600/0/default.jpg"
"Corn Knife,",1939,"https://media.nga.gov/iiif/66923155-0ac4-41b1-bf2b-885036fc27df/full/!588,600/0/default.jpg"
"Kettle Tilter,",c. 1939,"https://media.nga.gov/iiif/d6ef065d-1a0f-48b0-90e4-a0a5e00c101a/full/!588,600/0/default.jpg"
"Trapper's Hunting Knife,",1935/1942,"https://media.nga.gov/iiif/b7a9b14e-7670-43d0-837a-ba8aa1f2d908/full/!588,600/0/default.jpg"
"Chopping Knife,",c. 1941,"https://media.nga.gov/iiif/21000490-3c99-4cf4-b40a-003bdbe7f52d/full/!588,600/0/default.jpg"
"Chopping Knife,",c. 1941,"https://media.nga.gov/iiif/a02bf66e-7f12-455d-ab59-e9b7e272287f/full/!588,600/0/default.jpg"
"Paper Knife,",c. 1938,"https://media.nga.gov/iiif/5ead6e67-a20a-4cfa-8291-03f7768b427c/full/!588,600/0/default.jpg"
"Door Handle,",c. 1938,"https://media.nga.gov/iiif/0cc3dd30-95a1-4b30-a053-d7c4d321e3e7/full/!588,600/0/default.jpg"
"Suffolk Latch,",c. 1939,"https://media.nga.gov/iiif/7a00017c-457b-41db-9524-117c2f213f8b/full/!588,600/0/default.jpg"
"Latch Plate,",c. 1936,"https://media.nga.gov/iiif/a8a88a51-d933-48cd-851c-106de2e0ab26/full/!588,600/0/default.jpg"
"Attic Door Latch,",c. 1936,"https://media.nga.gov/iiif/eceda914-4535-4a21-a909-0471d984030f/full/!588,600/0/default.jpg"
"Three Door Latches,",c. 1938,"https://media.nga.gov/iiif/baa14d95-f674-4766-a2f0-2edb75da2f94/full/!588,600/0/default.jpg"
"Shoe Last,",1938,"https://media.nga.gov/iiif/408cb2f0-0fad-4193-be3d-dca442acd1dd/full/!588,600/0/default.jpg"
"Sconce,",1935/1942,"https://media.nga.gov/iiif/3686ecd8-92ff-42c0-a529-dfdcb4d00743/full/!588,600/0/default.jpg"
"Candle Sconce,",c. 1940,"https://media.nga.gov/iiif/5c0d8898-8b96-4ffa-81e4-b14b410b91bc/full/!588,600/0/default.jpg"
"Wall Sconce,",1935/1942,"https://media.nga.gov/iiif/3cd75c1d-cc8f-41fd-9d42-2f46fabf73e0/full/!588,600/0/default.jpg"
"Candle Holder,",c. 1940,"https://media.nga.gov/iiif/4c3e9f60-ce05-44ce-946e-41f9300c886a/full/!588,600/0/default.jpg"
"Garden Gate Latch,",c. 1940,"https://media.nga.gov/iiif/617df12d-5f73-4b2d-8f75-7e71be518a5b/full/!588,600/0/default.jpg"
"Door Latch,",c. 1939,"https://media.nga.gov/iiif/275e3d70-ff8f-43ae-9447-5ca31ae1b213/full/!588,600/0/default.jpg"
"Suffolk Latch,",c. 1939,"https://media.nga.gov/iiif/f85ec9c8-cbd1-4b27-b40d-945612c773a4/full/!588,600/0/default.jpg"
"Bag,",1935/1942,"https://media.nga.gov/iiif/b25e6803-b697-48e0-8c18-af98501583dc/full/!588,600/0/default.jpg"
"Tambourine or Hand Drum,",1935/1942,"https://media.nga.gov/iiif/5fd597a9-c954-4dea-a9a4-2dd320c3415a/full/!588,600/0/default.jpg"
"Wooden Mask,",1935/1942,"https://media.nga.gov/iiif/2c7b24a5-5445-46ad-a321-50e97845b70b/full/!588,600/0/default.jpg"
"Buckskin Legging with Beadwork,",1935,"https://media.nga.gov/iiif/94fbd44e-1bd0-4075-922f-b8e2b04cb8b3/full/!588,600/0/default.jpg"
"Dance Moccasins,",1935,"https://media.nga.gov/iiif/751a0d8b-21f5-4904-b6ba-45fe4c4f3892/full/!588,600/0/default.jpg"
"Basket,",1935,"https://media.nga.gov/iiif/a826829e-e587-4f37-a1e7-fbec5c7fe329/full/!588,600/0/default.jpg"
"Head Dress,",1935,"https://media.nga.gov/iiif/75590ad4-d088-4353-af97-1bd672e6009c/full/!588,600/0/default.jpg"
"Tomahawk Pipe,",1935,"https://media.nga.gov/iiif/cb13647d-3129-4170-b31e-a7c694167201/full/!588,600/0/default.jpg"
"Booties,",c. 1935,"https://media.nga.gov/iiif/bb272763-99d0-44e7-945c-fd8dc4c7f221/full/!588,600/0/default.jpg"
"Vessel,",1935/1942,"https://media.nga.gov/iiif/484d603a-d54e-4656-84bf-aceb7333b29a/full/!588,600/0/default.jpg"
"Medicine Bag and Feather Case,",1935,"https://media.nga.gov/iiif/2231cba4-114d-4fe4-b819-178aaf8519bb/full/!588,600/0/default.jpg"
"Iron Balcony Garde,",1935/1942,"https://media.nga.gov/iiif/812902d9-2d82-4a0e-988b-aa2c2a8d0a30/full/!588,600/0/default.jpg"
"Cast Iron Balcony Rail,",1935/1942,"https://media.nga.gov/iiif/57686ed0-0ef1-4af0-9ef9-15959988b2b0/full/!588,600/0/default.jpg"
"Kettle with Spoon,",c. 1935,"https://media.nga.gov/iiif/98ae430f-ad03-4b6a-841b-0c142dd0c97b/full/!588,600/0/default.jpg"
"Bridal Wreath,",1935/1942,"https://media.nga.gov/iiif/c446ca37-3560-46cc-92c6-86d031efacdb/full/!588,600/0/default.jpg"
"Candle Pendant,",c. 1940,"https://media.nga.gov/iiif/ff992237-3f17-405b-b09a-212cf1876ca7/full/!588,600/0/default.jpg"
"Rush and Candle Stand,",c. 1939,"https://media.nga.gov/iiif/104852a9-a4b0-4de7-bbf4-a2eaad36c2ae/full/!588,600/0/default.jpg"
"Rush Light and Candle Holder,",c. 1938,"https://media.nga.gov/iiif/5b41fd1d-5628-470c-81eb-2021a9b06399/full/!588,600/0/default.jpg"
"Rush Light and Candle Holder,",c. 1938,"https://media.nga.gov/iiif/75f7d865-4133-41f2-9959-149a65675422/full/!588,600/0/default.jpg"
"Rush Holder,",c. 1939,"https://media.nga.gov/iiif/27a993c9-9c10-4dd1-994c-ce1ba3f5f44f/full/!588,600/0/default.jpg"
"Candle Sticker,",c. 1940,"https://media.nga.gov/iiif/f7d7effe-a6d3-42b0-8676-7a9462e72f7e/full/!588,600/0/default.jpg"
"Miner's Candle Holder,",c. 1938,"https://media.nga.gov/iiif/dc307643-9254-433c-8386-9dcfed271484/full/!588,600/0/default.jpg"
"Chandelier,",c. 1937,"https://media.nga.gov/iiif/bc5d4f8e-750b-42d4-9213-aabeb0240fba/full/!588,600/0/default.jpg"
