title,years,link
"St. Malo,",1924,"https://media.nga.gov/iiif/196efcd3-2ce2-49da-a9df-8654780d00b8/full/!588,600/0/default.jpg"
"Notre Dame du Val, Provins,",1924,"https://media.nga.gov/iiif/d9a7c1c9-375b-4eda-bd04-ba743680a191/full/!588,600/0/default.jpg"
"House of Phanar, Constantinople,",1927,"https://media.nga.gov/iiif/458c3048-d195-4382-bf17-65194a5131d7/full/!588,600/0/default.jpg"
"Piazza di Spagna, Rome,",1927,"https://media.nga.gov/iiif/af047c43-375e-40a9-8b99-fb75971145a8/full/!588,600/0/default.jpg"
"St. Peter's Colonnade, Rome,",1922,"https://media.nga.gov/iiif/194c37bb-6960-4396-b9dd-d2dee4478ec5/full/!588,600/0/default.jpg"
"Cours Saleya, Nice,",1929,"https://media.nga.gov/iiif/33530f49-1f35-415c-b47c-74805d0915f1/full/!588,600/0/default.jpg"
"Mosque of Sultan Bayazid, Constantinople,",1927,"https://media.nga.gov/iiif/0db870a0-451e-40dd-9a93-a6d46ce5bd4a/full/!588,600/0/default.jpg"
"Sospel,",1923,"https://media.nga.gov/iiif/a16cf9ac-3646-4b88-be0d-5fab20134d0b/full/!588,600/0/default.jpg"
"Via Appia Antica, Rome,",1924,"https://media.nga.gov/iiif/f7184c44-5a46-4d5e-975c-5cf2a99b3b3a/full/!588,600/0/default.jpg"
"Rockport,",1918,"https://media.nga.gov/iiif/9ae85698-c835-4ba4-a05c-afbb0b4554b9/full/!588,600/0/default.jpg"
"Florence,",1907,"https://media.nga.gov/iiif/4d68329f-733e-4fcb-952c-dfead7b0b683/full/!588,600/0/default.jpg"
"Porto Maggiore, Orvieto,",1925,"https://media.nga.gov/iiif/5d0bf29a-e542-44d2-bc05-159ca8521ce0/full/!588,600/0/default.jpg"
"Clifford's Inn,",1912,"https://media.nga.gov/iiif/863d1dce-8d77-4123-a398-ac357f1868ef/full/!588,600/0/default.jpg"
"Saint Victor, Marseilles,",1921,"https://media.nga.gov/iiif/3008c405-f6ac-43a4-a6e5-3e1397db0f65/full/!588,600/0/default.jpg"
"Saint Olave's, Tooley Street,",1927,"https://media.nga.gov/iiif/9beb2a28-7373-4f8c-a99c-f9de30f93d54/full/!588,600/0/default.jpg"
"Old Port, Marseilles,",1930,"https://media.nga.gov/iiif/1059728c-ac89-409b-8b37-aa81969d1493/full/!588,600/0/default.jpg"
"Amberley Castle, Sussex,",1916,"https://media.nga.gov/iiif/49bf7e03-e20c-4fc2-8dd8-b5f245daf795/full/!588,600/0/default.jpg"
"Figure of a Woman Crouching,",c. 1906,"https://media.nga.gov/iiif/e0fe5895-c9fb-4b1b-a26e-5938090957f8/full/!588,600/0/default.jpg"
"Portrait of Dr. Bilderbeck Gomess,",c. 1909,"https://media.nga.gov/iiif/06d5afeb-0218-4912-bb10-825a4856aeda/full/!588,600/0/default.jpg"
"Monaco from La Condamine, Monte Carlo,",1905 - 1906,"https://media.nga.gov/iiif/d5177f2a-fbe0-4cb1-907f-a7f1db75e2b8/full/!588,600/0/default.jpg"
"Corner of Luna Street, Chelsea Embankment,",c. 1888 - 1889,"https://media.nga.gov/iiif/9fa78a52-1eda-4a64-9fe5-f40a3daa5773/full/!588,600/0/default.jpg"
"A Stag, A Study,",c. 1890 - 1898,"https://media.nga.gov/iiif/307a8fa8-ee20-4f2b-8eb7-5517cabda35e/full/!588,600/0/default.jpg"
"Two Flowers,",c. 1890 - 1895,"https://media.nga.gov/iiif/611f8f41-9e67-44f7-b8c8-64be1a7c53ea/full/!588,600/0/default.jpg"
"Laburnums and Battersea,",1889 / 1890 and 1898,"https://media.nga.gov/iiif/a03ea720-220d-4b13-ab9e-9d2e4e0b676b/full/!588,600/0/default.jpg"
"The Henley Hat,",c. 1890,"https://media.nga.gov/iiif/8e1e93a7-f5bb-48df-9e79-f0a180520e72/full/!588,600/0/default.jpg"
"Little Girls and Perambulators, Chelsea Embankment,",c. 1888 - 1889,"https://media.nga.gov/iiif/f5bc0a02-0b4f-4ccc-8306-ee00eddee0ea/full/!588,600/0/default.jpg"
"The Little Fish Shop, Chelsea Embankment,",c. 1888 - 1889,"https://media.nga.gov/iiif/cc424889-5bc7-46a8-b01e-9b7ed1a076d2/full/!588,600/0/default.jpg"
"Chelsea Regatta,",c. 1888 - 1889,"https://media.nga.gov/iiif/c93fd12f-b5c3-4c97-a60b-59d7b6f6a2c4/full/!588,600/0/default.jpg"
"Jeanette, June 1887 / Flower,","1887 (Jeanette), c. 1887 - 1924 (Flower)","https://media.nga.gov/iiif/780be523-cd0c-4a03-a555-4a4f14b76921/full/!588,600/0/default.jpg"
"El acaparador (The Monopolizer),","1936, published 1937","https://media.nga.gov/iiif/9a04dfc0-d26d-4e5a-b8ee-fd3de6b64f04/full/!588,600/0/default.jpg"
"El espia (The Spy),","1936, published 1937","https://media.nga.gov/iiif/b98f1850-3b7b-40e7-a81b-dc8b185a241d/full/!588,600/0/default.jpg"
"El estrategico (The Strategist),","1936, published 1937","https://media.nga.gov/iiif/a755cc10-9cd8-4f0b-a70b-4a69e928c875/full/!588,600/0/default.jpg"
"Landscape with an Inn to the Right and House on Rocks to the Left,",probably c. 1609,"https://media.nga.gov/iiif/20607678-799a-4d6c-9eef-74585e5b1815/full/!588,600/0/default.jpg"
"Cats I (Katzen I),",1914,"https://media.nga.gov/iiif/f5990aed-272a-48a0-bf1d-6642af507cb0/full/!588,600/0/default.jpg"
"Dinner-Time on Board the Timber Barque ""Marie"" Unloading at Conway,",1890,"https://media.nga.gov/iiif/2567532b-4285-44e6-a641-af02a5971e31/full/!588,600/0/default.jpg"
"Entrance to the Mersey,",1890,"https://media.nga.gov/iiif/9b1e3142-f9e0-442f-9353-8a49411da209/full/!588,600/0/default.jpg"
"A Sussex Down,",1898,"https://media.nga.gov/iiif/80d69174-b15b-4c4a-8022-a61ff80104bf/full/!588,600/0/default.jpg"
"Shap Fells,",c. 1902,"https://media.nga.gov/iiif/e809ba9f-d746-4485-83f8-f22155d31a7f/full/!588,600/0/default.jpg"
"A Roman Canal,",1904,"https://media.nga.gov/iiif/f265627c-dcca-49b1-adee-44bbbbfa4e12/full/!588,600/0/default.jpg"
"Artist's Father,",1924,"https://media.nga.gov/iiif/74ffb023-2e03-4035-bbac-03fd03bb87f7/full/!588,600/0/default.jpg"
"The People Work - Night,",1937,"https://media.nga.gov/iiif/863ee116-7e99-4dec-971a-a10ea28ccbf6/full/!588,600/0/default.jpg"
"Steel Mills,",1937,"https://media.nga.gov/iiif/3da57edd-3f8b-45bc-87c8-2cb0132b7609/full/!588,600/0/default.jpg"
